ID,Created,Feature Title,Feature Description,Compliance Label,Confidence Score,Reasoning Summary,Jurisdiction,Country,State,Domain,Applicable Regulations,Legal Citations,Human Override,Analysis Type
36,2025-08-31 01:21:06,Utah Social Media Age Verification System,"Parental consent system for Utah minors requiring verification before account creation, including time restrictions and parental access controls as required by Utah Social Media Regulation Act",compliant,0.9,This feature involves high-risk data processing Under US law (jurisdiction: US_UT) The Children's Online Privacy Protection Act applies because: • Parental consent for data collection from children under 13 The Utah Social Media Regulation Act applies because: • Parental consent for minors to create...,US_UT,US,UT,compliance_demonstration,Children's Online Privacy Protection Act | Utah Social Media Regulation Act,COPPA Section 312.3 (Verifiable parental consent) | COPPA Section 312.4 (Notice requirements) | Utah Social Media Regulation Act - General compliance requirements,No,enhanced_reasoning_demonstration
37,2025-08-31 01:21:06,GDPR Consent Collection for EU Users,"Explicit consent collection system for EU users covering data processing, tracking, and personalization activities with granular consent options and withdrawal mechanisms",compliant,0.9,This feature involves low-risk data processing Under European Union regulations The General Data Protection Regulation applies because: • Explicit consent for data processing • Right to data portability and deletion The feature includes consent mechanisms which aids compliance.,EU,EU,,compliance_demonstration,General Data Protection Regulation,GDPR Article 6 (Lawfulness of processing) | GDPR Article 7 (Conditions for consent) | GDPR Article 25 (Data protection by design),No,enhanced_reasoning_demonstration
38,2025-08-31 01:21:06,California SB976 Minor Protection Suite,"Comprehensive parental control dashboard with time limits, addictive design restrictions, and notification controls for California users under 18 as mandated by SB976",non-compliant,0.7,This feature involves high-risk data processing Under US law (jurisdiction: US_CA) The Children's Online Privacy Protection Act applies because: • Parental consent for data collection from children under 13 The California Consumer Privacy Act applies because: • Non-discrimination for exercising priv...,US_CA,US,CA,compliance_demonstration,Children's Online Privacy Protection Act | California Consumer Privacy Act | California Social Media Platform Safety Act (SB 976),COPPA Section 312.3 (Verifiable parental consent) | COPPA Section 312.4 (Notice requirements) | CCPA Section 1798.100 (Right to know) | CCPA Section 1798.105 (Right to delete) | California SB 976 Section 2 (Age verification) | California SB 976 Section 3 (Parental controls),No,enhanced_reasoning_demonstration
39,2025-08-31 01:21:06,NCMEC Automated Reporting System,Machine learning system for detecting and automatically reporting child sexual abuse material to NCMEC with evidence preservation and law enforcement cooperation,non-compliant,0.85,This feature involves high-risk data processing Under US law (jurisdiction: US) The Children's Online Privacy Protection Act applies because: • Parental consent for data collection from children under 13 • Notice to parents about data collection practices The National Center for Missing & Exploited ...,US,US,,compliance_demonstration,Children's Online Privacy Protection Act | National Center for Missing & Exploited Children Reporting,COPPA Section 312.3 (Verifiable parental consent) | COPPA Section 312.4 (Notice requirements) | National Center for Missing & Exploited Children Reporting - General compliance requirements,No,enhanced_reasoning_demonstration
40,2025-08-31 01:21:06,Florida Age Verification for Social Media,Age verification system preventing account creation for users under 14 in Florida with parental consent requirements and educational materials about social media risks,compliant,0.9,This feature involves low-risk data processing Under US law (jurisdiction: US_FL) The Children's Online Privacy Protection Act applies because: • Parental consent for data collection from children under 13 The Florida Online Protection for Minors Act applies because: • Age verification for social me...,US_FL,US,FL,compliance_demonstration,Children's Online Privacy Protection Act | Florida Online Protection for Minors Act,COPPA Section 312.3 (Verifiable parental consent) | COPPA Section 312.4 (Notice requirements) | Florida Online Protection for Minors Act - General compliance requirements,No,enhanced_reasoning_demonstration
41,2025-08-31 01:21:06,EU Digital Services Act Compliance Dashboard,"Transparent content moderation system with user appeal processes, risk assessments, and external auditing capabilities required under EU Digital Services Act",compliant,0.75,This feature involves low-risk data processing Under European Union regulations The General Data Protection Regulation applies because: • Privacy impact assessments for high-risk processing The Digital Services Act applies because: • Transparent content moderation processes • Risk assessment for sys...,EU,EU,,compliance_demonstration,General Data Protection Regulation | Digital Services Act,GDPR Article 6 (Lawfulness of processing) | GDPR Article 7 (Conditions for consent) | GDPR Article 25 (Data protection by design) | DSA Article 16 (Internal complaint-handling systems) | DSA Article 17 (Out-of-court dispute settlement),No,enhanced_reasoning_demonstration
35,2025-08-31 00:59:46,Feature from check_compliance,"Curfew login blocker with ASL and GH for Utah minors,""To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL ...",non-compliant,0.72,Mock compliance check: Data processing requires explicit consent,US,US,,compliance_analysis,,,No,check_compliance_analysis
34,2025-08-31 00:58:16,Feature from check_compliance,"Curfew login blocker with ASL and GH for Utah minors,""To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL ...",non-compliant,0.72,Mock compliance check: Data processing requires explicit consent,US,US,,compliance_analysis,,,No,check_compliance_analysis
26,2025-08-31 00:49:59,Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,media_sharing,,,No,batch_processing_analysis
27,2025-08-31 00:49:59,Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",compliant,0.75,This feature involves low-risk data processing Under GLOBAL jurisdiction,GLOBAL,,,content_moderation,,,No,batch_processing_analysis
